"endTime","artistName","trackName","msPlayed"
"2022-05-18 11:42","Ulises Bueno","Infiel",204290
"2022-05-18 11:46","Sergio Torres","Nadie",251454
"2022-05-18 11:49","Los Cadiz","Si un Amor Se Va",207307
"2022-05-18 11:52","Banda XXI","Te Pido Perdon",186968
"2022-05-18 11:55","La Contra","Bum, Bum, Bum",181860
"2022-05-18 11:58","Rodrigo Tapari","Acá Me Tenés",169042
"2022-05-18 12:03","El Gordo Luis","Otra Como Tú",258666
"2022-05-18 12:05","Mario Pereyra y Su Banda","Hasta el Sol de Hoy (En Vivo)",137786
"2022-05-18 12:08","Mario Luis","Cómo Pude Amarla",205730
"2022-05-18 12:12","Los Cadiz","Te Voy a Amar",200018
"2022-05-18 12:15","Los del Fuego","Dejame Entrar",176979
"2022-05-18 12:18","La Repandilla","Bonita y Mentirosa / Loquito por Ti",214586
"2022-05-18 12:21","Lucas Sugo","Amiga",196800
"2022-05-18 12:23","Mario Pereyra y Su Banda","Vagabundo (En Vivo)",103469
"2022-05-18 12:27","La Nueva Luna","No Llores",253918
"2022-05-18 12:32","Super Quinteto","El Precio de Tu Engaño",277433
"2022-05-18 12:36","La Contra","Loco",222723
"2022-05-18 12:39","Los del Fuego","Un Dia Sin Ti",199810
"2022-05-18 12:47","Mario Luis","Te Sorprenderás",45645
"2022-05-20 09:44","La contrà","Tan Natural",5682
"2022-05-20 09:48","La Nueva Luna","Te Llevas Mi Vida",232051
"2022-05-20 09:51","Los Charros","Pero No Puedo",178548
"2022-05-20 09:56","La Barra","Y No Voy a Llorar",258253
"2022-05-20 10:00","La Contra","Otro Día Más Sin Verte",245854
"2022-05-20 10:03","El Gordo Luis","Cinco Minutos",211024
"2022-05-20 10:05","Sergio Torres","Piropo",113742
"2022-05-20 10:08","Mario Luis","Tú o Ninguna",168383
"2022-05-20 23:32","La Contra","No Me Enseñaste",520
"2022-05-20 23:36","La Liga","Entre Vos Yo y el Cielo",263955
"2022-05-20 23:36","La Liga","Entre el Cielo Vos y Yo - En Vivo",10963
"2022-05-20 23:39","La Contra","No Me Enseñaste",182185
"2022-05-20 23:42","La Contra","En La Orilla de Mi Cama",190730
"2022-05-20 23:45","Los del Fuego","Donde Estas Corazón",176565
"2022-05-20 23:46","Mario Luis","Quiero Saber de Ti",11244
"2022-05-20 23:49","La Contra","Loco",932
"2022-05-20 23:49","La Contra","Ay Amor",2571
"2022-05-20 23:49","Los Cadiz","Antes",213838
"2022-05-20 23:49","Rodrigo Tapari","Deja de Llorar",613
"2022-05-20 23:49","Daniel Agostini","Amame",2148
"2022-05-20 23:49","18 Kilates","Ahora Que Te Vas",2135
"2022-05-20 23:49","Sergio Torres","Me Dediqué a Perderte",1336
"2022-05-20 23:49","La Nueva Luna","Recuerdos de Mí",2953
"2022-05-20 23:49","Super Quinteto","Bebiendo Lagrimas",88
"2022-05-20 23:53","La Contra","Eres la Cancion",398
"2022-05-20 23:53","Super Quinteto","Te Hubieras Ido Antes",888
"2022-05-20 23:53","Mario Pereyra y Su Banda","Nada",186435
"2022-05-20 23:53","Los Cadiz","Si un Amor Se Va",2055
"2022-05-20 23:53","Dale Q' Va","Te Esperé",1500
"2022-05-20 23:53","Rodrigo Tapari","No Te Vayas - En Vivo",13354
"2022-05-20 23:53","Sergio Torres","Mi Amor Eres Tú",1945
"2022-05-20 23:55","Mario Luis","Qué Vuelva",99243
"2022-05-20 23:58","La Contra","Adicto a Tu Piel",199399
"2022-05-21 00:00","La 2001","Amor de Su Cama",100518
"2022-05-21 00:04","La Liga","Entre Vos Yo y el Cielo",4642
"2022-05-21 00:04","Walter Salinas","Destino O Casualidad",238718
"2022-05-21 00:06","La contrà","Entre tú y mil mares",129534
"2022-05-22 14:58","David Rees","De Ellos Aprendí",33320
"2022-05-23 20:28","La Contra","No Me Enseñaste",493
"2022-05-23 20:28","La Contra","Otro Día Más Sin Verte",470
"2022-05-23 20:31","La Contra","No Me Enseñaste",182185
"2022-05-23 20:31","Los del Fuego","Un Dia Sin Ti",22
"2022-05-23 20:34","La Contra","En La Orilla de Mi Cama",190772
"2022-05-23 20:37","Los del Fuego","Donde Estas Corazón",176565
"2022-05-23 20:38","The La Planta","No Aguanto Más",1411
"2022-05-23 20:38","Los Cadiz","Antes",70496
"2022-05-23 20:42","Mario Pereyra y Su Banda","Nada",186435
"2022-05-23 20:45","Mario Luis","Quiero Que Seas Mi Estrella",5501
"2022-05-23 20:45","Los del Fuego","Si Quieres Mi Amor",2057
"2022-05-23 20:45","La Contra","Adicto a Tu Piel",194956
"2022-05-23 20:45","La Nueva Luna","Recuerdos de Mí",3390
"2022-05-23 20:48","Dale Q' Va","Tú",192773
"2022-05-23 20:51","La Contra","No Me Doy por Vencido",165098
"2022-05-23 20:51","Los del Fuego","Podria Ser Amado",0
"2022-05-23 20:51","Rodrigo Tapari","Deja de Llorar",1178
"2022-05-23 20:51","Los Cadiz","Te Voy a Amar",2381
"2022-05-23 20:51","La Contra","Parecen Viernes",0
"2022-05-23 20:51","Karina","Esa Te Dejó",0
"2022-05-23 20:51","Sergio Torres","Me Dediqué a Perderte",1364
"2022-05-23 20:51","18 Kilates","Paso la Vida Pensando",0
"2022-05-23 20:57","Leo Mattioli","Amantes Desiguales",297293
"2022-05-23 20:57","Los del Fuego","Donde Estas Corazón",2820
"2022-05-23 21:01","La Liga","Entre Vos Yo y el Cielo",254938
"2022-05-23 21:05","La Contra","Adicto a Tu Piel",199399
"2022-05-23 21:08","La Contra","No Me Enseñaste",182185
"2022-05-23 21:12","La Liga","Entre Vos Yo y el Cielo",110234
"2022-05-23 22:23","Bad Bunny","Moscow Mule",2555
"2022-05-23 22:26","Luck Ra","Te Mentiría Remix",166123
"2022-05-23 22:27","Emilia","cuatro veinte",36474
"2022-05-23 22:27","Trueno","ARGENTINA",43306
"2022-05-23 22:31","Mario Luis","Voy a Olvidarme de Mí",196395
"2022-05-23 22:34","Commanche","Vivir Asi Es Morir de Amor",211703
"2022-05-23 22:36","Q' Lokura","Manos de Tijera - En Vivo",115797
"2022-05-23 22:41","Celia Cruz","La Vida Es Un Carnaval",278866
"2022-05-23 23:18","Johnny Pacheco","Quimbara",143153
"2022-05-24 21:10","Radio Rental","Episode 25",1818302
"2022-05-24 21:13","La Contra","No Me Enseñaste",182185
"2022-05-24 21:16","Los del Fuego","Jurabas Tu",189151
"2022-05-24 21:19","Natalia Oreiro","No Es Mi Despedida - Banda de Sonido Original de la Película",194073
"2022-05-24 21:22","The La Planta","Te Mentiría",154912
"2022-05-24 21:22","Grupo Trinidad","Conmigo Te Gustó",17909
"2022-05-24 21:26","La Contra","Adicto a Tu Piel",199399
"2022-05-24 21:32","Los del Fuego","Sabes",85620
"2022-05-25 12:29","Nuestro Día","Nuestra agenda del lunes 16 de mayo",1517657
"2022-05-25 12:38","Nuestro Día","¿Sigue habiendo censura en la televisión?",540865
